"Compounds ID"	"Name"	"Formula"	"Annotation Source: Predicted Compositions"	"Annotation Source: mzCloud Search"	"Annotation Source: Metabolika Search"	"Annotation Source: ChemSpider Search"	"FISh Coverage"	"Molecular Weight"	"RT [min]"	"Area (Max.)"	"# ChemSpider Results"	"# mzCloud Results"	"# Metabolika Pathways"	"Metabolika Pathways"	"mzCloud Best Match"	"mzCloud Best Sim. Match"	"MS2"	"Area: SCBIBlank4_1.raw (F34)"	"Area: SERCBLANK_2.raw (F35)"	"Area: TRB00001_Blank_1.raw (F36)"	"Area: UMB00001_Blank_1.raw (F37)"	"Area: SB00114_QUERRU_actual.raw (F1)"	"Area: SB00115_QUERRU.raw (F2)"	"Area: SB00116_QUERRU.raw (F3)"	"Area: SB00117_QUERRU.raw (F4)"	"Area: SB00119_QUERRU.raw (F5)"	"Area: SB00121_QUERRU.raw (F6)"	"Area: SB00124_QUERRU.raw (F7)"	"Area: SB00207_QUERRU.raw (F8)"	"Area: SB00232_QUERRU.raw (F9)"	"Area: SBP00000_QUERRU.raw (F10)"	"Area: SR00147_QUERRU.raw (F11)"	"Area: SR00155_QUERRU.raw (F12)"	"Area: SR00161_QUERRU.raw (F13)"	"Area: SR00165_QUERRU.raw (F14)"	"Area: SRP00001_QUERRU.raw (F15)"	"Area: TR00015_QUERRU.raw (F16)"	"Area: TR00018_QUERRU.raw (F17)"	"Area: TR00022_QUERRU.raw (F18)"	"Area: TR00023_QUERRU.raw (F19)"	"Area: TR00024_QUERRU.raw (F20)"	"Area: TRP00001_QUERRU.raw (F21)"	"Area: UM00000_QUERRU.raw (F22)"	"Area: UM00009_QUERRU.raw (F23)"	"Area: UM00010_QUERRU.raw (F24)"	"Area: UM00033_QUERRU.raw (F25)"	"Area: UM00034_QUERRU.raw (F26)"	"Area: UM00036_QUERRU.raw (F27)"	"Area: UM00057_QUERRU.raw (F28)"	"Area: UM00079_QUERRU.raw (F29)"	"Area: UM00094_QUERRU.raw (F30)"	"Area: UM00117_QUERRU.raw (F31)"	"Area: UM00121_QUERRU.raw (F32)"	"Area: UMP0001_QUERRU.raw (F33)"	"Group Area: Control"	"Group Area: Sample"	"Group CV [%]: Control"	"Group CV [%]: Sample"	"Ratio: (Sample) / (Control)"	"Log2 Fold Change: (Sample) / (Control)"	"P-value: (Sample) / (Control)"	"Adj. P-value: (Sample) / (Control)"
"22"	"2,3-Bis[(9E,12E)-9,12-octadecadienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate"	"C44 H80 N O8 P"	"Full match"	"No results"	"No results"	"Full match"	""	"781.56144"	"18.060"	"2794279944.03377"	"8"	"0"	"0"	""	""	""	"PreferredDDA"	"2606033.35725844"	"7949165.90196867"	"6928171.1422398"	"7352356.33893774"	"9371420.07850035"	"31669713.809921"	"29334589.5823786"	"63968497.9678268"	"54048745.4588592"	"19452248.0662713"	"195061450.694273"	"150971278.31487"	"508786477.19257"	"554580402.556187"	"457849583.069041"	"1761577819.15711"	"1959516146.85718"	"2433719449.47473"	"157755260.01004"	"41303465.1636034"	"22878381.0669789"	"34495865.9199714"	"47286643.549184"	"332550021.149656"	"2794279944.03377"	"1845026382.69225"	"601025029.609003"	"317067296.861327"	"1803719187.68659"	"1561789951.54181"	"1820742724.21138"	"1400919789.8883"	"2353024476.69575"	"1633185596.85906"	"2005127113.21397"	"715304757.349554"	"1845026382.69225"	"7140263.74058877"	"508786477.19257"	"39.268750012557"	"100.919390329492"	"71.256"	"6.15"	"6.64309202202991E-08"	"3.42839294563502E-07"
"26"	"myricetin 3-O-beta-D-galactopyranoside"	"C21 H20 O13"	"Full match"	"Full match"	"No results"	"Partial match"	""	"480.08998"	"7.306"	"2514387903.36505"	"2"	"3"	"0"	""	"98.5"	"62.5"	"PreferredDDA"	"76437.6251053864"	"61249.6553819712"	"74271.2317093008"	"58241.6238863226"	"119424074.0389"	"2491635.75150572"	"409850.539837715"	"128262490.939308"	"53328543.4757988"	"297847056.190404"	"76396068.3078961"	"443360275.529195"	"37816986.2098511"	"199145491.176696"	"55804266.4948164"	"627877.657012807"	"112899.115062804"	"53510810.9885539"	"202609801.257037"	"217183587.255326"	"64290156.2813595"	"2514387903.36505"	"11738209.7900089"	"511503010.735158"	"34180520.0037812"	"33188758.2087405"	"71056973.4603255"	"155703200.812153"	"489549.47853664"	"110522.201207334"	"46087117.3535223"	"12247371.8381413"	"138849.884681427"	"22203419.2570407"	"121532.485517065"	"13057607.4754329"	"33188758.2087405"	"67760.443545636"	"46087117.3535223"	"13.5276400219703"	"268.309751896082"	"680.148"	"9.41"	"1.38403130112676E-13"	"2.37538395402685E-12"
"27"	"Quercetin"	"C15 H10 O7"	"Full match"	"Full match"	"Full match"	"Full match"	""	"302.04244"	"8.644"	"2500143725.17329"	"3"	"18"	"1"	"Superpathway of flavones and derivatives biosynthesis"	"98.3"	""	"PreferredDDA"	"74010.2121898238"	"435256.4613861"	"40433.0978784446"	"32802.0385326025"	"528489821.667878"	"15729608.4603531"	"2197098825.24932"	"7381624.09528512"	"3910937.15697338"	"10168564.1053382"	"940998682.318066"	"7021645.14479844"	"579973684.387966"	"21462699.0197608"	"400469483.488214"	"2500143725.17329"	"2146101156.4597"	"470132016.108105"	"57739655.969316"	"18592551.2370047"	"923611675.244567"	"8549063.37272913"	"1409933510.3805"	"13875736.4963036"	"1741171279.24555"	"226302537.831091"	"165229440.122944"	"170129744.642571"	"128870250.589366"	"1103439158.89253"	"178474601.285965"	"196811619.200139"	"9885565.46468952"	"175090173.401896"	"28428797.2712576"	"71893476.7261406"	"226302537.831091"	"57221.6550341342"	"175090173.401896"	"133.160299852117"	"142.076206145621"	"3059.859"	"11.58"	"7.37727456890852E-05"	"0.000197057913252231"
"30"	"(1r,3R,4s,5S)-4-{[(2E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy}-1,3,5-trihydroxycyclohexane-1-carboxylic acid"	"C16 H18 O9"	"Full match"	"Full match"	"Partial match"	"Partial match"	""	"354.09482"	"5.114"	"2231694441.42077"	"3"	"4"	"1"	"Superpathway of scopolin and esculin biosynthesis"	"99.8"	""	"PreferredDDA"	"7515937.48802033"	"1467666.88109096"	"72317.4834604073"	"386264.433266441"	"1357400406.44384"	"479116548.33438"	"1973630742.18789"	"338716301.642071"	"198179400.898056"	"581207863.22432"	"924636059.590302"	"1817024434.70955"	"548888536.851616"	"968140099.995046"	"696240944.096201"	"989296767.826913"	"321333214.563207"	"1215069126.3337"	"2231694441.42077"	"958662112.454219"	"605626551.45423"	"1276242720.22925"	"852040937.755792"	"901806752.165129"	"1123557214.32419"	"112912736.138176"	"281101004.884559"	"254656288.986505"	"172299284.789971"	"156340104.549746"	"143606997.190937"	"58635227.3619315"	"22860309.8870504"	"87497260.1429527"	"47044829.2828959"	"103993149.993367"	"112912736.138176"	"926965.6571787"	"548888536.851616"	"147.783924842455"	"89.543253418782"	"592.135"	"9.21"	"0.00648675767919771"	"0.0117601650011354"
"926"	"Quercetin"	"C15 H10 O7"	"Full match"	"Full match"	"Full match"	"Full match"	""	"302.04255"	"8.499"	"2136475815.29089"	"3"	"18"	"1"	"Superpathway of flavones and derivatives biosynthesis"	"98.2"	""	"PreferredDDA"	"30078.4005477839"	"419190.913780241"	"17805.5893247189"	"15350.1233047248"	"29030713.5222692"	"15706985.7695768"	"79060183.0890655"	"27285971.3757589"	"2757501.38331496"	"25943666.4590756"	"19608061.9974877"	"1823437.53260664"	"15423381.1242636"	"25647862.4119985"	"6633347.65843593"	"11734306.9153384"	"2136475815.29089"	"21681228.7371403"	"960890.836817368"	"18934370.641017"	"32291138.8355573"	"3349184.89206131"	"24290391.8535199"	"1638948.00337213"	"1729706854.52925"	"7574345.96429937"	"9882004.86347422"	"9225857.19822143"	"25782309.5760252"	"5214383.19725105"	"10898367.2467168"	"8011281.56244764"	"9810536.78663732"	"14671599.4963459"	"28374106.4435547"	"3323992.82555738"	"7574345.96429937"	"23941.9949362514"	"14671599.4963459"	"165.132952790069"	"352.97633153399"	"612.798"	"9.26"	"0.00245115700570881"	"0.00477680443170389"
"155"	"D-(-)-Quinic acid"	"C7 H12 O6"	"Full match"	"Full match"	"Full match"	"Partial match"	""	"192.06320"	"0.734"	"1801496822.9599"	"1"	"1"	"2"	"Superpathway of aromatic compound degradation via 2-oxopent-4-enoate;Superpathway of aromatic compound degradation via 3-oxoadipate"	"99.0"	""	"PreferredDDA"	"6665438.55705818"	"9581821.87387405"	"102306.400835661"	"80370.6293359396"	"1358347867.8619"	"959577143.870001"	"1081130881.09316"	"926249201.26232"	"849951418.660562"	"803161201.45764"	"939873462.279736"	"905344910.489343"	"1113763666.44926"	"1047387889.03562"	"1338391471.58948"	"1801496822.9599"	"1775814090.9519"	"1373853935.99426"	"1599023526.57716"	"163845361.148219"	"380395010.415465"	"370970151.925184"	"706679706.488"	"532687067.291635"	"537060695.314035"	"164899383.305318"	"223637501.332465"	"252276507.274893"	"119511328.782109"	"143563337.125703"	"168658470.824062"	"151629040.945974"	"86620537.2710791"	"175490831.191633"	"90333308.2496347"	"89890445.1945628"	"164899383.305318"	"3383872.47894692"	"537060695.314035"	"116.564109148478"	"79.5394184683702"	"158.712"	"7.31"	"0.015906990303242"	"0.0272736514791066"
"46"	"myricetin 3-O-beta-D-galactopyranoside"	"C21 H20 O13"	"Full match"	"Full match"	"No results"	"Full match"	""	"480.08988"	"7.225"	"1788321013.08978"	"2"	"3"	"0"	""	"98.7"	"61.7"	"PreferredDDA"	"48657.5603046013"	"38189.0062893874"	"49785.6664726033"	"42377.9268245287"	"326747623.068516"	"68238.3089909879"	"575946.962457053"	"332095.186712084"	"63738.4341862769"	"148215.957905087"	"150140226.905562"	"255398.222126105"	"103253501.717238"	"2642298.61694038"	"83230704.5782169"	"597938.217935626"	"1039758.10964677"	"101828262.217218"	"192175.324402402"	"121730.319749848"	"1541403518.25585"	"2993601.33657139"	"1274385437.47858"	"1566845.69707503"	"1788321013.08978"	"32666830.6510146"	"87740446.2086969"	"85793003.8213505"	"90990.1935060727"	"121608.381320233"	"72920386.7707715"	"11217046.9215592"	"126703.772667077"	"21944002.042686"	"66290.957084489"	"12847129.0191567"	"32666830.6510146"	"45517.743564565"	"2993601.33657139"	"12.1912478969747"	"256.809250163699"	"65.768"	"6.04"	"2.39574259103284E-09"	"1.68730827883785E-08"
"58"	"1-palmitoyl-2-[(9Z,12Z,15Z)-octadecatrienoyl]-sn-glycero-3-phosphocholine"	"C42 H78 N O8 P"	"Full match"	"No results"	"No results"	"Full match"	""	"755.54606"	"18.090"	"1645001912.92812"	"3"	"0"	"0"	""	""	""	"PreferredDDA"	"3642007.70120528"	"8329619.7653478"	"5434296.00363559"	"5941438.41724745"	"4865523.44197089"	"17552733.4853135"	"26265325.1170305"	"47990522.3319682"	"41136007.7573484"	"15839323.5034233"	"152173679.730961"	"101960103.4012"	"444744409.855132"	"377523006.858612"	"223415393.610089"	"1167307202.17645"	"1388881666.48161"	"1124030422.15541"	"121899155.021215"	"23997196.844347"	"13403732.0334884"	"39195424.6065862"	"40258811.4614652"	"165087121.01407"	"1645001912.92812"	"980302769.739335"	"225644230.318358"	"121626048.746185"	"1049716642.56802"	"866919997.035112"	"957495735.906253"	"741570866.573256"	"1579500078.48556"	"761939754.060248"	"1035513006.67868"	"440440688.385383"	"980302769.739335"	"5687867.21044152"	"225644230.318358"	"33.1094835825223"	"101.713034274342"	"39.671"	"5.31"	"6.90000762529245E-11"	"6.71288877443706E-10"
"54"	"isoquercetin"	"C21 H20 O12"	"Full match"	"No results"	"Not the top hit"	"Full match"	""	"464.09504"	"8.015"	"1586680499.04669"	"7"	"0"	"1"	"Superpathway of flavones and derivatives biosynthesis"	""	""	"NoMSn"	"105052.316951379"	"2689583.30836681"	"104002.543445141"	"82087.9493738994"	"24628614.0143905"	"90996534.1251535"	"123766150.99445"	"119807098.603464"	"22985835.4002618"	"245833640.117512"	"31672731.9464771"	"324523983.342827"	"13809862.1117557"	"255498560.017129"	"18424799.3225602"	"134409029.491202"	"73072978.5166461"	"5016300.04824374"	"169224126.793035"	"366896967.928254"	"159599114.059575"	"1586680499.04669"	"17854781.4383671"	"645265768.055575"	"255889073.7965"	"35583939.6186013"	"12711778.0732572"	"33700077.9140697"	"38336021.7206511"	"49134452.5745957"	"11539894.1038717"	"11402869.7310612"	"28376958.8383803"	"36296205.0528485"	"83760294.4274057"	"21471307.7697238"	"35583939.6186013"	"104527.43019826"	"38336021.7206511"	"173.959100164122"	"189.179316741063"	"366.756"	"8.52"	"0.00465587251106518"	"0.0086596714283214"
"61"	"acrep"	"C13 H25 N O2"	"Full match"	"No results"	"No results"	"Full match"	""	"227.18831"	"11.674"	"1575760085.90355"	"1"	"0"	"0"	""	""	""	"PreferredDDA"	"611798968.038021"	"216875755.795102"	"516327934.452942"	"232693754.940866"	"362498553.965238"	"392076045.759363"	"357383484.796018"	"367412074.753559"	"366679688.222437"	"371724100.03633"	"357500659.604471"	"411477493.096298"	"413182331.68296"	"720221793.131678"	"185872725.559122"	"188540716.81499"	"188100580.520097"	"185973635.402662"	"465217889.578675"	"712796022.90337"	"817322238.248733"	"904837842.56524"	"893552449.61328"	"795425830.709241"	"682913397.261881"	"1227421118.27269"	"1575760085.90355"	"1380891849.73142"	"1010045058.31063"	"950944218.196229"	"835459628.583141"	"1005049561.81468"	"1025267152.10269"	"666614839.856279"	"1231251726.4684"	"954587456.00899"	"1227421118.27269"	"374510844.696904"	"712796022.90337"	"50.6629803978243"	"54.2054764520872"	"1.903"	"0.93"	"0.148410714381571"	"0.214428681441811"
